department,year,gdp,spending,spending_pct_gdp
DHS,1976,1790000000000.0,,
DOC,1976,1790000000000.0,819000000.0,0.04575418994413408
DOD,1976,1790000000000.0,35696000000.0,1.9941899441340782
DOE,1976,1790000000000.0,10882000000.0,0.6079329608938547
DOT,1976,1790000000000.0,1142000000.0,0.06379888268156425
EPA,1976,1790000000000.0,968000000.0,0.05407821229050279
HHS,1976,1790000000000.0,9226000000.0,0.5154189944134078
Interior,1976,1790000000000.0,1152000000.0,0.06435754189944135
NASA,1976,1790000000000.0,12513000000.0,0.699050279329609
NIH,1976,1790000000000.0,8025000000.0,0.4483240223463687
NSF,1976,1790000000000.0,2372000000.0,0.13251396648044692
Other,1976,1790000000000.0,1191000000.0,0.066536312849162
USDA,1976,1790000000000.0,1837000000.0,0.10262569832402235
VA,1976,1790000000000.0,404000000.0,0.022569832402234636
DHS,1977,2028000000000.0,,
DOC,1977,2028000000000.0,837000000.0,0.04127218934911243
DOD,1977,2028000000000.0,37967000000.0,1.8721400394477319
DOE,1977,2028000000000.0,13741000000.0,0.6775641025641026
DOT,1977,2028000000000.0,1095000000.0,0.053994082840236685
EPA,1977,2028000000000.0,966000000.0,0.04763313609467455
HHS,1977,2028000000000.0,9507000000.0,0.4687869822485207
Interior,1977,2028000000000.0,1082000000.0,0.05335305719921104
NASA,1977,2028000000000.0,12553000000.0,0.6189842209072979
NIH,1977,2028000000000.0,8214000000.0,0.40502958579881654
NSF,1977,2028000000000.0,2395000000.0,0.11809664694280078
Other,1977,2028000000000.0,1280000000.0,0.06311637080867849
USDA,1977,2028000000000.0,1796000000.0,0.08856015779092702
VA,1977,2028000000000.0,374000000.0,0.01844181459566075
DHS,1978,2278000000000.0,,
DOC,1978,2278000000000.0,871000000.0,0.03823529411764706
DOD,1978,2278000000000.0,37022000000.0,1.6251975417032483
DOE,1978,2278000000000.0,15663000000.0,0.6875768217734856
DOT,1978,2278000000000.0,1156000000.0,0.05074626865671642
EPA,1978,2278000000000.0,1175000000.0,0.051580333625987705
HHS,1978,2278000000000.0,10533000000.0,0.46237928007023704
Interior,1978,2278000000000.0,1125000000.0,0.04938542581211589
NASA,1978,2278000000000.0,12516000000.0,0.5494293239683933
NIH,1978,2278000000000.0,8802000000.0,0.38639157155399473
NSF,1978,2278000000000.0,2446000000.0,0.1073748902546093
Other,1978,2278000000000.0,1237000000.0,0.05430201931518877
USDA,1978,2278000000000.0,1962000000.0,0.08612818261633012
VA,1978,2278000000000.0,356000000.0,0.01562774363476734
DHS,1979,2570000000000.0,,
DOC,1979,2570000000000.0,952000000.0,0.037042801556420236
DOD,1979,2570000000000.0,37174000000.0,1.4464591439688717
DOE,1979,2570000000000.0,15612000000.0,0.6074708171206226
DOT,1979,2570000000000.0,1004000000.0,0.03906614785992218
EPA,1979,2570000000000.0,1102000000.0,0.04287937743190661
HHS,1979,2570000000000.0,10127000000.0,0.3940466926070039
Interior,1979,2570000000000.0,1176000000.0,0.04575875486381323
NASA,1979,2570000000000.0,13079000000.0,0.5089105058365758
NIH,1979,2570000000000.0,9243000000.0,0.3596498054474708
NSF,1979,2570000000000.0,2404000000.0,0.0935408560311284
Other,1979,2570000000000.0,2321000000.0,0.0903112840466926
USDA,1979,2570000000000.0,2054000000.0,0.07992217898832685
VA,1979,2570000000000.0,353000000.0,0.013735408560311283
DHS,1980,2797000000000.0,,
DOC,1980,2797000000000.0,945000000.0,0.03378619949946371
DOD,1980,2797000000000.0,37005000000.0,1.3230246692885235
DOE,1980,2797000000000.0,15226000000.0,0.5443689667500894
DOT,1980,2797000000000.0,1048000000.0,0.03746871648194494
EPA,1980,2797000000000.0,903000000.0,0.03228459063282088
HHS,1980,2797000000000.0,10045000000.0,0.35913478727207726
Interior,1980,2797000000000.0,1082000000.0,0.03868430461208437
NASA,1980,2797000000000.0,13837000000.0,0.49470861637468716
NIH,1980,2797000000000.0,9093000000.0,0.32509831962817304
NSF,1980,2797000000000.0,2407000000.0,0.08605648909545943
Other,1980,2797000000000.0,2468000000.0,0.08823739721129782
USDA,1980,2797000000000.0,1887000000.0,0.06746514122273865
VA,1980,2797000000000.0,359000000.0,0.012835180550589917
DHS,1981,3138000000000.0,,
DOC,1981,3138000000000.0,829000000.0,0.026418100701083493
DOD,1981,3138000000000.0,41737000000.0,1.3300509878903761
DOE,1981,3138000000000.0,14798000000.0,0.47157425111536017
DOT,1981,3138000000000.0,978000000.0,0.03116634799235182
EPA,1981,3138000000000.0,901000000.0,0.0287125557680051
HHS,1981,3138000000000.0,9644000000.0,0.3073295092415551
Interior,1981,3138000000000.0,990000000.0,0.03154875717017208
NASA,1981,3138000000000.0,13276000000.0,0.4230720203951562
NIH,1981,3138000000000.0,8580000000.0,0.2734225621414914
NSF,1981,3138000000000.0,2300000000.0,0.07329509241555131
Other,1981,3138000000000.0,1925000000.0,0.06134480560866794
USDA,1981,3138000000000.0,1964000000.0,0.06258763543658381
VA,1981,3138000000000.0,382000000.0,0.012173358827278522
DHS,1982,3314000000000.0,,
DOC,1982,3314000000000.0,693000000.0,0.02091128545564273
DOD,1982,3314000000000.0,46893000000.0,1.4149969824984912
DOE,1982,3314000000000.0,12160000000.0,0.36692818346409173
DOT,1982,3314000000000.0,702000000.0,0.021182860591430295
EPA,1982,3314000000000.0,641000000.0,0.019342184671092333
HHS,1982,3314000000000.0,8860000000.0,0.2673506336753168
Interior,1982,3314000000000.0,866000000.0,0.026131563065781533
NASA,1982,3314000000000.0,10322000000.0,0.31146650573325285
NIH,1982,3314000000000.0,8314000000.0,0.25087507543753773
NSF,1982,3314000000000.0,2191000000.0,0.06611345805672902
Other,1982,3314000000000.0,1626000000.0,0.04906457453228727
USDA,1982,3314000000000.0,1867000000.0,0.05633675316837659
VA,1982,3314000000000.0,313000000.0,0.009444779722389862
DHS,1983,3541000000000.0,,
DOC,1983,3541000000000.0,700000000.0,0.01976842699802316
DOD,1983,3541000000000.0,51008000000.0,1.4404970347359503
DOE,1983,3541000000000.0,11129000000.0,0.314289748658571
DOT,1983,3541000000000.0,800000000.0,0.022592487997740753
EPA,1983,3541000000000.0,501000000.0,0.014148545608585146
HHS,1983,3541000000000.0,9418000000.0,0.265970064953403
Interior,1983,3541000000000.0,835000000.0,0.02358090934764191
NASA,1983,3541000000000.0,5893000000.0,0.16642191471335782
NIH,1983,3541000000000.0,8733000000.0,0.24662524710533745
NSF,1983,3541000000000.0,2282000000.0,0.06444507201355548
Other,1983,3541000000000.0,1457000000.0,0.04114656876588534
USDA,1983,3541000000000.0,1907000000.0,0.05385484326461452
VA,1983,3541000000000.0,347000000.0,0.009799491669020052
DHS,1984,3953000000000.0,,
DOC,1984,3953000000000.0,755000000.0,0.019099418163420187
DOD,1984,3953000000000.0,58139000000.0,1.4707563875537566
DOE,1984,3953000000000.0,11731000000.0,0.29676195294712876
DOT,1984,3953000000000.0,1018000000.0,0.025752592967366556
EPA,1984,3953000000000.0,518000000.0,0.013103971667088288
HHS,1984,3953000000000.0,10145000000.0,0.2566405261826461
Interior,1984,3953000000000.0,757000000.0,0.0191500126486213
